mode,distance_km,passengers,occupancy,traffic_index,temperature_c,rain_index,weekend,co2e_kg
Car,4.267,4,4.0,0.697,12.83,0.976,1,0.24388
Bicycle,10.141,1,127.04,0.927,29.32,0.823,1,0.0
Bus,13.294,1,25.03,0.632,32.74,0.355,0,0.97426
Walking,7.373,1,124.26,0.044,14.63,0.683,1,0.0
Bicycle,6.878,1,124.93,0.189,13.9,0.476,0,0.00651
Motorcycle,16.926,1,110.63,0.312,34.97,0.805,1,1.95505
Bus,18.306,1,23.43,0.007,33.61,0.665,0,1.28941
Bicycle,7.122,1,117.8,0.115,30.05,0.471,1,0.0
Metro,11.539,1,125.69,0.304,10.92,0.437,1,0.44865
Motorcycle,3.355,1,112.64,0.281,18.81,0.662,0,0.38138
Metro,15.722,1,123.65,0.167,10.68,0.09,1,0.6362
Bicycle,7.128,1,123.85,0.696,23.38,0.381,0,0.0
Motorcycle,2.091,1,109.42,0.962,37.26,0.7,0,0.28055
Motorcycle,7.815,1,112.53,0.272,12.89,0.903,0,0.84613
Bus,13.889,1,13.25,0.857,32.76,0.719,1,2.05369
Bus,27.62,1,9.81,0.416,11.25,0.494,0,5.08554
Motorcycle,25.655,1,114.88,0.925,27.43,0.347,1,3.17605
Metro,2.706,1,122.51,0.083,24.6,0.491,0,0.09878
Walking,1.134,1,113.5,0.521,23.17,0.022,0,0.00157
Bicycle,9.12,1,106.6,0.672,18.44,0.659,1,0.0013
Bicycle,19.563,1,110.52,0.037,26.65,0.371,0,0.00838
Bicycle,4.867,1,123.08,0.515,17.68,0.936,0,0.0
Car,11.619,5,5.0,0.893,25.57,0.316,1,0.53929
Bus,21.025,1,30.29,0.262,38.1,0.241,1,1.25172
Car,8.976,5,5.0,0.599,36.24,0.196,0,0.3983
Motorcycle,7.578,1,118.69,0.014,16.89,0.132,0,0.73287
Bicycle,9.905,1,110.25,0.2,34.12,0.715,0,0.00031
Bicycle,7.041,1,128.02,0.663,38.67,0.286,1,0.0
Walking,12.199,1,111.32,0.14,22.57,0.966,0,0.0
Metro,8.255,1,115.27,0.018,13.27,0.829,0,0.32585
Bicycle,9.092,1,115.76,0.374,22.78,0.652,1,0.0
Walking,36.018,1,111.23,0.817,13.16,0.067,0,0.00342
Metro,29.506,1,118.04,0.921,14.97,0.285,1,1.17067
Car,8.579,1,1.0,0.053,27.73,0.681,0,1.74169
Bicycle,10.671,1,114.23,0.043,15.44,0.237,0,0.02093
